Lifestyle,,,,,,,,Class,Subclass
,,,,,,,,,
"once again we blame landlords-we are building 140,000 houses and need to build 300,000, this will mean cheaper houses and lots of DIY skills.Its simply supply and demand-in Somerset Where I live, about 93% of the land is untouched, lets go mad and release 1% for building land!",,,,,,article comments,,O,A
"I remember some years ago, trying to sell my rental. None of the young people were interest.",,,,,,,,F,
reached 50% home ownership by 1971 - and 58% by 1980 - hence ownership has been majority tenure for 45 yrs.,,,,,,,,F,
PRS does house a far younger demographic than SRS - with latter having a major element of sick/disabled/carers/retired - hence around 80% are HB claimants ,,,,,,,,F,
"Could be because schools are concentrating on A-C academic grades rather than practical experience of handling wood and metal materials, turning these into useful objects, at school.",,,,,,,,O,J
"The landlord started talking about selling more than a year ago (when they were doing the garden). He also put the rent up a bit, but it was quite low, so the increase was reasonable",,,,,,,,O,
"How do you work that out? No one is doing any favours. The landlord provides the service and the tenant uses it. It's mutual benefit, he same as the restaurant. ",,,,,,,,O,J
So if you go to a restaurant and pay a fortune for shit food and shit service you should still be grateful because you're having your dinner cooked for you?,,,,,,,,O,A
"To be fair, if the tenant is prepared to spend their own time and money putting up fluorescent wallpaper then it would indicate that they are intending to stay for a long time",,,,,,,,O,A
Presumably the previous tenants had been charged for each hook left there.,,,,,,,,O,R
Now your daughter has put all that work in she's almost certainly increased the rental value of the house. ,,,,,,,,O,R
"Not so much 'can't be bothered' as simply 'can't' most landlords won't even allow you to bang in a nail to put a picture up, let alone put up a shelf or and like that",,,,,,,,O,R
" Right to buy has removed so many homes from the social housing registermoney and running, leaving the rent to go through the roof? Plenty of anecotal evidence though.",,,,,,,,O,J
"Without paying deposits, a mantra of 'homes you and your family are proud to live in' and security of tenure, no, tenants do not move out unless needs change",,,,,,,,O,J
"Oh dear, typical lefty. Classic. If you think a home is ever going to be in the grasp of the vast majority of young people you are severely mistaken, let alone getting enough together to get a second house to rent out. It was a one-off equaliser that let some people cross the wealth gap while simultaneously widening it as the increased competition for houses pushed prices up. ",,,,,,,,O,A
"This assumes that this entire generation has such great other skills and opportunities. Reality is they often don't. So some will need these skills to do it themselves, or do it for others.",,,,,,,,O,J
" It's that name differs to the person to whom a tenant pays their rent (excluding those hard working letting agents, naturally) then there may be something fishy going on.",,,,,,,,O,R
"As his living room was the same size as mine, the man next door asked me how many rolls of wallpaper I got to do my living room",,,,,,,,F,
Using whatever figures you want ( including his) that is just not true.,,,,,,,,O,R
